,temp_avg,temp_max,temp_min,encode_state,Year,Month,Precipitation,Total_Suntime
74,32.39667892,45.45460892,21.96669388,0,1902,3,1.54754216,1329684
75,42.76132965,54.93121719,28.07765198,0,1902,4,1.574472656,1423618
76,52.13609695,66.30767059,40.07485199,0,1902,5,2.00821819,1591571
77,60.92663956,77.29832458,45.55059433,0,1902,6,1.586631728,1601488
78,67.87939453,85.28871918,54.43320465,0,1902,7,1.741699284,1628660
79,63.46926117,80.52127075,52.48231506,0,1902,8,2.1548782,1526793
80,54.94465637,71.07076263,42.41539001,0,1902,9,1.550031436,1347707
81,45.65022278,63.13783264,33.68236923,0,1902,10,1.404844825,1251292
82,30.80272865,52.20022964,20.58479309,0,1902,11,1.036910616,1088717
83,22.91996384,36.85277176,14.54373932,0,1902,12,1.190006438,1059275
84,22.56890869,34.41397858,11.69787407,0,1903,1,0.926736628,1090264
85,26.48557091,42.71409225,15.5531683,0,1903,2,1.277425741,1078169
86,34.83555222,44.04873657,19.05251312,0,1903,3,1.337812837,1328535
87,40.81207275,59.07143784,30.81703377,0,1903,4,1.957848919,1422566
88,50.24361801,70.49465942,39.05700684,0,1903,5,1.718557022,1590773
89,57.98501968,78.81679535,45.71954727,0,1903,6,2.090529317,1601319
90,62.26672745,79.65344238,48.59189224,0,1903,7,1.926285439,1629205
91,63.02116776,81.09571075,50.48845673,0,1903,8,2.074788642,1527773
92,53.72363663,70.49353027,40.66081619,0,1903,9,1.235698769,1348794
93,42.93131256,61.72199631,33.97468185,0,1903,10,1.504223063,1252471
94,31.0451107,46.03075027,23.38752556,0,1903,11,0.885706454,1089525
95,24.98900223,35.57003021,12.03990173,0,1903,12,0.950109278,1059446
96,22.98165512,35.253582,12.61628342,0,1904,1,0.89411386,1089707
97,18.21661568,30.59696007,6.790366173,0,1904,2,0.788192413,1117770
98,34.17573929,44.07598877,18.99177551,0,1904,3,1.425792243,1332097
99,40.41272736,56.61531067,28.42318153,0,1904,4,1.49673925,1425819
100,46.8269043,63.70283127,34.95045471,0,1904,5,2.097092701,1593223
101,61.01001358,71.63161469,45.40544891,0,1904,6,2.167217171,1601802
102,63.37540054,80.1156311,51.34119797,0,1904,7,2.131099286,1627473
103,62.42503738,80.78829956,49.17604828,0,1904,8,2.047312444,1524708
104,54.76459122,67.76270294,39.30693817,0,1904,9,1.628757603,1345413
105,43.46195602,61.60269547,30.34770966,0,1904,10,1.414019329,1248984
106,36.07381058,46.17663574,21.13232422,0,1904,11,0.637599772,1087045
107,26.6370945,38.41963959,11.05393982,0,1904,12,0.932276194,1058953
108,17.83911514,33.30465698,8.108564377,0,1905,1,1.073780995,1091597
109,25.95773888,44.66333771,20.08211899,0,1905,2,1.286693713,1080153
110,31.60569572,50.28067017,21.1757946,0,1905,3,2.127402106,1330948
111,40.24106216,57.81707001,30.49564552,0,1905,4,2.231455072,1424772
112,48.57523346,65.0114212,37.70014572,0,1905,5,2.073661704,1592438
113,60.40765381,72.2592926,44.60371017,0,1905,6,1.310099496,1601654
114,64.01190186,78.9327774,48.52256393,0,1905,7,2.065564265,1628036
115,64.46169281,77.83712006,49.98999786,0,1905,8,1.81685558,1525697
116,55.86749268,72.52658844,42.31900024,0,1905,9,1.732321931,1346503
117,43.83844376,60.79944229,32.64162827,0,1905,10,1.421072296,1250082
118,32.89582062,49.27837753,20.11904144,0,1905,11,1.135908924,1087839
119,24.2444191,40.44691086,14.07047081,0,1905,12,0.916148833,1059101
120,24.79622459,34.06942749,11.59622097,0,1906,1,1.140125772,1090956
121,29.66667557,33.78588104,8.994022369,0,1906,2,1.009559316,1079204
122,31.23954582,49.53410721,24.09967041,0,1906,3,2.411709239,1329799
123,41.00649261,52.91626358,28.6129837,0,1906,4,3.06195954,1423726
124,51.03789139,61.30295944,38.06258011,0,1906,5,2.015201024,1591654
125,58.90369415,76.70843506,47.16179276,0,1906,6,1.358067255,1601503
126,64.66712952,78.09992981,49.66888046,0,1906,7,2.122215229,1628597
127,63.45545197,81.4120636,50.39802933,0,1906,8,2.055162758,1526684
128,56.83838654,72.35631561,43.72586823,0,1906,9,1.770424636,1347590
129,42.75616455,56.43315506,29.39163017,0,1906,10,1.652219026,1251178
130,29.9176178,48.00318909,22.91182518,0,1906,11,1.084818982,1088634
131,19.98096657,33.94470596,9.113331795,0,1906,12,0.816170498,1059253
132,24.73913574,37.52010345,12.16247463,0,1907,1,1.142025086,1090319
133,27.60959816,41.65567398,14.59971333,0,1907,2,1.08446774,1078258
134,36.80750275,41.56669617,15.90332317,0,1907,3,1.224319793,1328651
135,40.81394196,56.08131409,31.31423759,0,1907,4,2.029553144,1422681
136,50.17858505,65.01393127,37.67709732,0,1907,5,2.195171721,1590870
137,60.36807632,73.15621185,45.49884033,0,1907,6,1.306278898,1601350
138,66.2021637,77.80780792,48.55826187,0,1907,7,2.20252641,1629155
139,64.53830719,77.44020844,48.76045227,0,1907,8,1.903593733,1527670
140,56.79374313,69.91796875,42.20490265,0,1907,9,1.314519213,1348676
141,45.44015884,56.03746414,31.35368919,0,1907,10,1.204409013,1252273
142,31.8693161,43.93787384,20.72831345,0,1907,11,1.003084058,1089429
143,20.59851074,42.40383911,19.74777603,0,1907,12,1.338966516,1059409
144,23.37926102,41.09833145,14.53499699,0,1908,1,1.154591437,1089752
145,24.27501869,47.03572083,21.77236938,0,1908,2,1.138644345,1117860
146,33.76786804,53.23231125,25.32071877,0,1908,3,1.04650435,1332217
147,43.23526382,56.60087967,28.30708504,0,1908,4,1.361659581,1425943
148,51.5569191,59.98482895,34.24237061,0,1908,5,2.012538178,1593332
149,61.33469772,72.15942383,43.53321457,0,1908,6,1.328391587,1601845
150,64.19564819,79.27449036,51.09153748,0,1908,7,2.188740238,1627430
151,64.58791351,78.19564819,50.3082962,0,1908,8,1.963148534,1524605
152,58.58721542,71.70949554,42.34184647,0,1908,9,1.385452932,1345290
153,44.05902863,64.59354401,33.63202667,0,1908,10,1.682137617,1248852
154,35.45924377,45.84464264,21.58797073,0,1908,11,1.072651869,1086938
155,22.14223289,39.15266037,14.45642281,0,1908,12,1.15698032,1058906
156,23.12384224,33.92908096,11.852911,0,1909,1,1.147288419,1091638
157,26.53907013,40.97735596,13.34219933,0,1909,2,1.137040087,1080241
158,31.38303947,50.12245941,21.10596848,0,1909,3,1.426358872,1331074
159,44.07646561,58.89022446,30.70734024,0,1909,4,1.747053322,1424906
160,52.46107483,62.70417404,34.33376694,0,1909,5,1.903373894,1592561
