,Precipitation,encode_state,Year,Month
1621,1.180078518,0,1911,2
1622,1.299685486,0,1911,3
1623,1.621463768,0,1911,4
1624,1.797303395,0,1911,5
1625,1.570374062,0,1911,6
1626,2.435279971,0,1911,7
1627,1.908562643,0,1911,8
1628,1.518810438,0,1911,9
1629,1.366183416,0,1911,10
1630,1.144072142,0,1911,11
1631,1.004199224,0,1911,12
1728,1.031553265,0,1912,1
1729,1.117254166,0,1912,2
1730,1.797375611,0,1912,3
1731,1.964023604,0,1912,4
1732,1.742795703,0,1912,5
1733,2.155414718,0,1912,6
1734,2.451241967,0,1912,7
1735,1.866795811,0,1912,8
1736,1.548978463,0,1912,9
1737,1.652429163,0,1912,10
1738,1.105267681,0,1912,11
1739,0.988980319,0,1912,12
1836,0.973811172,0,1913,1
1837,1.127581708,0,1913,2
1838,1.208379753,0,1913,3
1839,1.699742788,0,1913,4
1840,2.004332359,0,1913,5
1841,1.646954972,0,1913,6
1842,2.278432751,0,1913,7
1843,1.838656507,0,1913,8
1844,1.597275058,0,1913,9
1845,1.169481056,0,1913,10
1846,1.015640111,0,1913,11
1847,1.472968731,0,1913,12
1944,1.230869007,0,1914,1
1945,1.102373808,0,1914,2
1946,1.176903332,0,1914,3
1947,2.199529627,0,1914,4
1948,2.391128621,0,1914,5
1949,1.752756408,0,1914,6
1950,2.36970355,0,1914,7
1951,2.037134778,0,1914,8
1952,1.421268544,0,1914,9
1953,1.638699327,0,1914,10
1954,0.805112173,0,1914,11
1955,0.950200758,0,1914,12
2052,1.136613105,0,1915,1
2053,1.116043288,0,1915,2
2054,1.295050074,0,1915,3
2055,2.620855366,0,1915,4
2056,2.5571163,0,1915,5
2057,1.682115159,0,1915,6
2058,1.951193715,0,1915,7
2059,1.994527209,0,1915,8
2060,1.437904515,0,1915,9
2061,1.2465293,0,1915,10
2062,1.154319349,0,1915,11
2063,1.051427983,0,1915,12
2160,1.447357449,0,1916,1
2161,1.119454632,0,1916,2
2162,1.257959593,0,1916,3
2163,2.106527953,0,1916,4
2164,1.98332038,0,1916,5
2165,0.86753442,0,1916,6
2166,1.931430117,0,1916,7
2167,2.522528582,0,1916,8
2168,1.155426425,0,1916,9
2169,1.452918953,0,1916,10
2170,0.898384706,0,1916,11
2171,1.116584632,0,1916,12
