,forecast,encode_state,Year,Month
185,78.4888916,0,1911,6
186,83.35720062,0,1911,7
187,79.96823883,0,1911,8
188,76.53601074,0,1911,9
189,62.94760132,0,1911,10
190,51.34547424,0,1911,11
191,40.20132446,0,1911,12
192,43.49315262,0,1912,1
193,38.2004776,0,1912,2
194,50.24803162,0,1912,3
195,57.32274628,0,1912,4
196,68.27735901,0,1912,5
197,78.18478394,0,1912,6
198,77.52185822,0,1912,7
199,78.76641846,0,1912,8
200,75.20850372,0,1912,9
201,56.2202034,0,1912,10
202,45.62745285,0,1912,11
203,33.31253052,0,1912,12
204,34.00148773,0,1913,1
205,38.13755035,0,1913,2
206,42.14702606,0,1913,3
207,51.88871765,0,1913,4
208,63.96110916,0,1913,5
209,72.20235443,0,1913,6
210,78.98429108,0,1913,7
211,77.16957855,0,1913,8
212,64.7480011,0,1913,9
213,56.00926208,0,1913,10
214,47.19293594,0,1913,11
215,33.91643524,0,1913,12
216,32.56192398,0,1914,1
217,33.62342072,0,1914,2
218,45.22160721,0,1914,3
219,56.07210922,0,1914,4
220,70.31713104,0,1914,5
221,73.05738068,0,1914,6
222,79.78417969,0,1914,7
223,84.43523407,0,1914,8
224,67.33887482,0,1914,9
225,56.14763641,0,1914,10
226,49.46530533,0,1914,11
227,31.93743896,0,1914,12
228,38.40922928,0,1915,1
229,36.92148972,0,1915,2
230,48.29911041,0,1915,3
231,55.3977356,0,1915,4
232,64.50292206,0,1915,5
233,75.98191833,0,1915,6
234,78.38500214,0,1915,7
235,80.01337433,0,1915,8
236,75.42047882,0,1915,9
237,61.22665787,0,1915,10
238,49.95729828,0,1915,11
239,31.92262077,0,1915,12
240,32.42355347,0,1916,1
241,40.03776169,0,1916,2
242,43.48047638,0,1916,3
243,57.45970535,0,1916,4
244,60.35729599,0,1916,5
245,71.82656097,0,1916,6
246,77.61563873,0,1916,7
247,76.52503967,0,1916,8
248,69.98432922,0,1916,9
249,63.75137329,0,1916,10
250,46.49997711,0,1916,11
251,40.45207214,0,1916,12
252,32.56711578,0,1917,1
253,42.28924179,0,1917,2
254,52.06231308,0,1917,3
255,54.57601929,0,1917,4
256,65.38219452,0,1917,5
257,75.87987518,0,1917,6
258,82.18964386,0,1917,7
259,75.77627563,0,1917,8
260,69.35744476,0,1917,9
261,54.51677322,0,1917,10
262,45.27278137,0,1917,11
263,34.45876312,0,1917,12
264,32.90220642,0,1918,1
265,40.41319275,0,1918,2
266,42.33867264,0,1918,3
