,forecast,encode_state,Year,Month
185,58.28054428,0,1911,6
186,64.98348999,0,1911,7
187,65.40614319,0,1911,8
188,54.37635803,0,1911,9
189,44.76904678,0,1911,10
190,33.46287537,0,1911,11
191,23.66155624,0,1911,12
192,19.12561035,0,1912,1
193,26.0210762,0,1912,2
194,34.18513107,0,1912,3
195,41.17520523,0,1912,4
196,49.21483612,0,1912,5
197,61.00758362,0,1912,6
198,63.11756134,0,1912,7
199,64.60523224,0,1912,8
200,55.36540985,0,1912,9
201,43.77872849,0,1912,10
202,33.58123398,0,1912,11
203,24.14189148,0,1912,12
204,24.93428421,0,1913,1
205,27.28191948,0,1913,2
206,32.74393082,0,1913,3
207,41.93123627,0,1913,4
208,51.97109985,0,1913,5
209,61.44461441,0,1913,6
210,63.45449448,0,1913,7
211,64.16462708,0,1913,8
212,58.42150879,0,1913,9
213,44.68804169,0,1913,10
214,35.20959854,0,1913,11
215,24.85388184,0,1913,12
216,26.49236107,0,1914,1
217,31.17273521,0,1914,2
218,34.17325592,0,1914,3
219,42.42700195,0,1914,4
220,50.5363884,0,1914,5
221,58.94556046,0,1914,6
222,64.66967773,0,1914,7
223,64.79991913,0,1914,8
224,55.27296829,0,1914,9
225,44.28030777,0,1914,10
226,33.91788101,0,1914,11
227,24.92778015,0,1914,12
228,17.74450874,0,1915,1
229,26.72273064,0,1915,2
230,32.6216774,0,1915,3
231,40.15811157,0,1915,4
232,49.37972641,0,1915,5
233,62.00738525,0,1915,6
234,64.33475494,0,1915,7
235,63.98086929,0,1915,8
236,54.74800491,0,1915,9
237,44.11128616,0,1915,10
238,30.3844471,0,1915,11
239,27.38459396,0,1915,12
240,26.61987305,0,1916,1
241,25.6779213,0,1916,2
242,32.24103546,0,1916,3
243,34.59757233,0,1916,4
244,53.55909348,0,1916,5
245,62.68645477,0,1916,6
246,63.15050125,0,1916,7
247,60.59750366,0,1916,8
248,57.61231613,0,1916,9
249,43.83666992,0,1916,10
250,31.79227257,0,1916,11
251,24.15126419,0,1916,12
252,27.94324684,0,1917,1
253,27.39552879,0,1917,2
254,32.9498558,0,1917,3
255,43.13047791,0,1917,4
256,49.47041321,0,1917,5
257,60.21580124,0,1917,6
258,64.69820404,0,1917,7
259,65.6180191,0,1917,8
260,56.82354355,0,1917,9
261,41.39019012,0,1917,10
262,32.63749695,0,1917,11
263,26.87387848,0,1917,12
264,26.98013496,0,1918,1
265,24.46422005,0,1918,2
266,32.9459877,0,1918,3
267,46.69016647,0,1918,4
268,52.46580124,0,1918,5
269,60.64006042,0,1918,6
270,64.11989594,0,1918,7
271,63.28013992,0,1918,8
272,56.19540024,0,1918,9
273,46.20587921,0,1918,10
274,32.21554947,0,1918,11
275,25.89707375,0,1918,12
276,25.85017967,0,1919,1
277,25.11159897,0,1919,2
278,33.6852417,0,1919,3
279,46.29197311,0,1919,4
280,51.39004135,0,1919,5
281,59.80125809,0,1919,6
282,65.87886047,0,1919,7
283,65.53661346,0,1919,8
284,56.20058441,0,1919,9
285,47.13231659,0,1919,10
286,35.16029358,0,1919,11
287,24.64122009,0,1919,12
288,23.45850372,0,1920,1
289,30.36137581,0,1920,2
290,32.58505249,0,1920,3
291,42.09999847,0,1920,4
292,49.48216248,0,1920,5
293,62.05470657,0,1920,6
294,66.3420639,0,1920,7
295,63.54146576,0,1920,8
296,57.92203903,0,1920,9
297,47.86893463,0,1920,10
298,33.83779144,0,1920,11
299,28.86118317,0,1920,12
300,20.6251812,0,1921,1
301,29.02097702,0,1921,2
302,35.1835556,0,1921,3
303,43.09837723,0,1921,4
304,51.03297806,0,1921,5
305,61.23368073,0,1921,6
306,66.07635498,0,1921,7
307,62.01005173,0,1921,8
308,59.56986618,0,1921,9
309,45.64058304,0,1921,10
310,32.73093796,0,1921,11
311,24.26145554,0,1921,12
312,23.9531517,0,1922,1
313,28.25577545,0,1922,2
314,34.30732346,0,1922,3
315,42.77933502,0,1922,4
316,49.37101746,0,1922,5
317,61.73163986,0,1922,6
318,66.58328247,0,1922,7
319,64.09318542,0,1922,8
320,58.33562088,0,1922,9
321,46.53646088,0,1922,10
322,32.21347046,0,1922,11
323,24.89097595,0,1922,12
324,26.95125961,0,1923,1
325,24.99485207,0,1923,2
326,35.46780014,0,1923,3
327,42.20114899,0,1923,4
328,51.31582642,0,1923,5
329,64.2846756,0,1923,6
330,65.44235229,0,1923,7
331,66.16986084,0,1923,8
332,56.85337448,0,1923,9
333,45.81791306,0,1923,10
334,34.71377563,0,1923,11
335,24.54668045,0,1923,12
336,20.74596786,0,1924,1
337,26.65135384,0,1924,2
338,23.04070663,0,1924,3
339,42.54767609,0,1924,4
340,48.66638947,0,1924,5
341,60.91199875,0,1924,6
342,65.73851013,0,1924,7
343,62.96147919,0,1924,8
344,57.24094391,0,1924,9
345,46.17305756,0,1924,10
346,31.09465027,0,1924,11
347,24.86645699,0,1924,12
348,12.98549843,0,1925,1
349,29.67021942,0,1925,2
350,34.42890549,0,1925,3
351,42.67915344,0,1925,4
352,52.1281395,0,1925,5
353,60.51958847,0,1925,6
354,66.31441498,0,1925,7
355,65.69472504,0,1925,8
356,56.87863159,0,1925,9
357,45.79348755,0,1925,10
358,30.95604134,0,1925,11
359,25.0970974,0,1925,12
360,23.66355515,0,1926,1
361,28.4378376,0,1926,2
362,34.17546844,0,1926,3
363,42.27474213,0,1926,4
364,49.65343857,0,1926,5
365,62.34197235,0,1926,6
366,66.79807281,0,1926,7
367,64.03401947,0,1926,8
368,58.10079193,0,1926,9
369,47.49841309,0,1926,10
370,34.74301529,0,1926,11
371,22.85554886,0,1926,12
372,25.81380844,0,1927,1
373,27.5904541,0,1927,2
374,33.96418762,0,1927,3
375,41.29823303,0,1927,4
376,49.77091217,0,1927,5
377,60.11733246,0,1927,6
378,64.85179901,0,1927,7
379,64.15579987,0,1927,8
380,57.8937912,0,1927,9
381,46.19692993,0,1927,10
382,31.44226074,0,1927,11
383,24.09966087,0,1927,12
384,21.37025642,0,1928,1
385,28.40574837,0,1928,2
386,33.18842316,0,1928,3
387,41.29452896,0,1928,4
388,49.12937927,0,1928,5
389,59.01347351,0,1928,6
390,64.63365936,0,1928,7
391,61.94895554,0,1928,8
392,56.45537186,0,1928,9
393,46.17716217,0,1928,10
394,35.73161316,0,1928,11
395,26.55105972,0,1928,12
396,20.81898499,0,1929,1
397,25.57445145,0,1929,2
398,33.02671432,0,1929,3
399,43.20046997,0,1929,4
400,49.53297043,0,1929,5
401,62.25465012,0,1929,6
402,66.09203339,0,1929,7
403,66.11456299,0,1929,8
404,55.0078392,0,1929,9
405,45.59493637,0,1929,10
406,33.51211929,0,1929,11
407,27.04060936,0,1929,12
408,25.33115959,0,1930,1
409,28.57606697,0,1930,2
410,34.43127441,0,1930,3
411,42.54429626,0,1930,4
412,49.20943832,0,1930,5
413,61.90961838,0,1930,6
414,67.60630798,0,1930,7
415,67.19998169,0,1930,8
416,58.59668732,0,1930,9
417,45.11445618,0,1930,10
418,31.12857246,0,1930,11
419,24.0834446,0,1930,12
420,23.7022419,0,1931,1
421,26.52532959,0,1931,2
422,34.99925232,0,1931,3
423,35.95835876,0,1931,4
424,46.97822952,0,1931,5
425,61.77038574,0,1931,6
426,68.4559021,0,1931,7
427,65.93538666,0,1931,8
428,59.46906281,0,1931,9
429,47.49948883,0,1931,10
430,34.95504379,0,1931,11
431,26.17521477,0,1931,12
432,24.2909832,0,1932,1
433,27.8745575,0,1932,2
434,34.30459213,0,1932,3
435,40.85363388,0,1932,4
436,49.81884003,0,1932,5
437,61.20333481,0,1932,6
438,69.55025482,0,1932,7
439,66.32056427,0,1932,8
440,58.71035385,0,1932,9
441,48.54528046,0,1932,10
442,33.35936737,0,1932,11
443,27.62820244,0,1932,12
444,24.2875042,0,1933,1
445,27.12656593,0,1933,2
446,33.9148674,0,1933,3
447,43.76295853,0,1933,4
448,51.32823563,0,1933,5
449,61.7357254,0,1933,6
450,68.1756134,0,1933,7
451,65.53813171,0,1933,8
452,58.10824203,0,1933,9
453,46.0354538,0,1933,10
454,31.69657707,0,1933,11
455,24.85781479,0,1933,12
456,25.2957859,0,1934,1
457,15.34480095,0,1934,2
458,31.52104187,0,1934,3
459,44.00970078,0,1934,4
460,50.68140793,0,1934,5
461,61.44771576,0,1934,6
462,70.88747406,0,1934,7
463,66.88859558,0,1934,8
464,57.73718262,0,1934,9
465,48.3547821,0,1934,10
466,32.73796463,0,1934,11
467,19.55719757,0,1934,12
468,25.11186028,0,1935,1
469,22.23559952,0,1935,2
470,33.24593353,0,1935,3
471,41.98262024,0,1935,4
472,52.91620636,0,1935,5
473,66.03526306,0,1935,6
474,69.82073975,0,1935,7
475,68.3391037,0,1935,8
476,57.25745392,0,1935,9
477,47.86299133,0,1935,10
478,32.81135559,0,1935,11
479,22.41908455,0,1935,12
480,21.51988411,0,1936,1
481,29.32745743,0,1936,2
482,31.69829178,0,1936,3
483,44.98838425,0,1936,4
484,51.9752388,0,1936,5
485,62.47468948,0,1936,6
486,69.33015442,0,1936,7
487,66.49332428,0,1936,8
488,58.96627045,0,1936,9
489,46.50657272,0,1936,10
490,34.31669235,0,1936,11
491,25.1604557,0,1936,12
492,23.27913094,0,1937,1
493,28.75306129,0,1937,2
494,32.18292999,0,1937,3
495,43.31063843,0,1937,4
496,51.71944809,0,1937,5
497,61.48804474,0,1937,6
498,73.50701141,0,1937,7
499,67.70266724,0,1937,8
500,59.26362228,0,1937,9
501,47.12922287,0,1937,10
502,34.78510666,0,1937,11
503,24.26860046,0,1937,12
504,17.86159134,0,1938,1
505,21.68060493,0,1938,2
506,34.59324646,0,1938,3
507,42.28456497,0,1938,4
508,52.10133362,0,1938,5
509,61.14650345,0,1938,6
510,68.44811249,0,1938,7
511,69.28856659,0,1938,8
512,55.81754684,0,1938,9
513,45.30815506,0,1938,10
514,32.65326309,0,1938,11
515,26.51392174,0,1938,12
516,23.27896309,0,1939,1
517,31.01490021,0,1939,2
518,35.24702835,0,1939,3
519,41.60682678,0,1939,4
520,51.89928436,0,1939,5
521,64.21064758,0,1939,6
522,67.64582825,0,1939,7
523,66.57653046,0,1939,8
524,56.74497604,0,1939,9
525,48.60843658,0,1939,10
526,32.60847855,0,1939,11
527,25.43622208,0,1939,12
528,22.10726357,0,1940,1
529,24.43509483,0,1940,2
530,31.49804115,0,1940,3
531,42.50027847,0,1940,4
532,51.07631683,0,1940,5
533,62.68172836,0,1940,6
534,70.66547394,0,1940,7
535,64.69046021,0,1940,8
536,55.9641037,0,1940,9
537,45.92913055,0,1940,10
